2025-08-14 17:56:00.757 [main] INFO  c.jobmonitor.service.DatabaseService - MySQL driver loaded successfully
2025-08-14 17:56:01.047 [main] INFO  c.jobmonitor.service.DatabaseService - Database schema initialized successfully
2025-08-14 17:56:01.075 [main] INFO  c.jobmonitor.service.DatabaseService - Retrieved 3 companies from database
2025-08-14 17:56:01.076 [main] INFO  com.jobmonitor.Main - Found 3 companies in database: Commure, Observe Inc, Reevo
2025-08-14 17:56:01.148 [main] INFO  c.jobmonitor.service.ResumeService - Resume loaded successfully from: resume.txt
2025-08-14 17:56:01.452 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2025-08-14 17:56:01.482 [main] INFO  com.jobmonitor.Main - Job Monitoring System started
2025-08-14 17:56:01.482 [main] INFO  com.jobmonitor.Main - 🎯 Job Monitoring System started - running continuously
2025-08-14 17:56:01.482 [main] INFO  com.jobmonitor.Main - 📊 System will monitor jobs continuously and send Slack notifications for new matches
2025-08-14 17:56:01.482 [main] INFO  com.jobmonitor.Main - ⏹️  Press Ctrl+C to stop the application
2025-08-14 17:56:01.494 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.jobmonitor.actor.MessageQueueActor - MessageQueueActor created with maxQueueSize=1000, maxConcurrentJobs=5
2025-08-14 17:56:01.495 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  com.jobmonitor.actor.SchedulerActor - SchedulerActor created - waiting for initial company list
2025-08-14 17:56:01.496 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.Main - Continuous scheduler started with 5 minute polling interval
2025-08-14 17:56:01.496 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.Main - Company discovery will run every 30 minutes
2025-08-14 17:56:01.496 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.Main - 🎯 All actors created successfully - system will run continuously
2025-08-14 17:56:01.496 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.Main - 📊 Job monitoring will continue running until manually stopped
2025-08-14 17:56:01.497 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.actor.JobProcessorActor - LLMAnalyzerActor reference updated
2025-08-14 17:56:01.499 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.DatabaseService - Retrieved 3 companies from database
2025-08-14 17:56:01.499 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.DatabaseActor - Retrieved 3 companies for continuous monitoring
2025-08-14 17:56:01.499 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - Company list updated. Now monitoring 3 companies
2025-08-14 17:56:01.500 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - Starting continuous operation - scheduling first poll and company discovery
2025-08-14 17:56:01.500 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 🔔 Scheduling next poll in 5 minutes
2025-08-14 17:56:01.501 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Next poll scheduled successfully for 5 minutes from now
2025-08-14 17:56:01.501 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 🔔 Scheduling company discovery in 30 minutes
2025-08-14 17:56:01.501 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Company discovery scheduled successfully for 30 minutes from now
2025-08-14 17:56:01.501 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 🧪 Starting immediate test poll to verify system functionality
2025-08-14 17:56:01.502 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 📡 Received SchedulePoll message - starting job polling cycle
2025-08-14 17:56:01.502 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 🏢 Starting to poll 3 companies: Commure, Observe Inc, Reevo
2025-08-14 17:56:01.502 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Commure
2025-08-14 17:56:01.502 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Commure
2025-08-14 17:56:01.502 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Observe Inc
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Observe Inc
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Reevo
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Reevo
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ⏰ Scheduling next poll in 5 minutes
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - 🔔 Scheduling next poll in 5 minutes
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Next poll scheduled successfully for 5 minutes from now
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Polling cycle completed successfully
2025-08-14 17:56:01.503 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 📥 DatabaseActor received GetJobData message for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Observe Inc
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 🔍 Querying database for job data for company: Commure
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Observe Inc
2025-08-14 17:56:01.504 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Observe Inc
