2025-08-15 00:00:00.672 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 4/5 for company Commure (jobs 61-80)
2025-08-15 00:00:00.856 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Commure: 20675 characters
2025-08-15 00:00:02.820 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 4/5 for company Commure - found 1 results
2025-08-15 00:00:03.822 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 5/5 for company Commure (jobs 81-82)
2025-08-15 00:00:03.836 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Commure: 6698 characters
2025-08-15 00:00:06.799 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 5/5 for company Commure - found 2 results
2025-08-15 00:00:06.801 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Software Engineer, RCM (Brazil) (Score: 85.0)
2025-08-15 00:00:06.801 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Fullstack Engineer, RCM (Score: 82.0)
2025-08-15 00:00:06.801 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Software Engineer, Integrations (Score: 85.0)
2025-08-15 00:00:06.801 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Fullstack Engineer (Score: 85.0)
2025-08-15 00:00:06.801 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Fullstack Engineer, Applied AI (Score: 82.0)
2025-08-15 00:00:06.802 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Fullstack Engineer, Applied AI (Score: 90.0)
2025-08-15 00:00:06.802 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Found 6 matching jobs out of 82 analyzed for company Commure
2025-08-15 00:00:06.804 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - Received 6 job match results from LLM
2025-08-15 00:00:06.804 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 🎯 Job match analysis completed for company Commure: found 6 actual matches out of 6 total results
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 📧 Company Commure will receive 6 Slack notifications
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 🎯 JOB MATCHING SUMMARY: Found 6 matching jobs out of 6 total results
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Software Engineer, RCM (Brazil) with score: 85.0%
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 📧 Sending 6 Slack notifications for matching jobs
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - Analyzing 47 jobs for company Decagon with Mistral AI in a single batch request
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Analyzing 47 jobs for company Decagon with Mistral AI using automatic batching
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing 47 jobs for company Decagon in batches of 25
2025-08-15 00:00:06.805 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 1/2 for company Decagon (jobs 1-25)
2025-08-15 00:00:06.836 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Decagon: 24439 characters
2025-08-15 00:00:06.982 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:06.982 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Software Engineer, RCM (Brazil) (Message ID: 1755230407.005779)
2025-08-15 00:00:06.982 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Fullstack Engineer, RCM with score: 82.0%
